Name of State / UT,Total Confirmed cases (Including 76 foreign Nationals) ,Cured/Discharged/Migrated,Death,Date,Latitude,Longitude
Andaman and Nicobar Islands,11,10,0,16-04-20,11.7401,92.6586
Andhra Pradesh,503,16,9,16-04-20,15.9129,79.74
Arunachal Pradesh,1,0,0,16-04-20,28.218,94.7278
Assam,33,0,1,16-04-20,26.2006,92.9376
Bihar,70,29,1,16-04-20,25.0961,85.3131
Chandigarh,21,7,0,16-04-20,30.7333,76.7794
Chhattisgarh,33,13,0,16-04-20,21.2787,81.8661
Delhi,1561,30,30,16-04-20,28.7041,77.1025
Goa,7,5,0,16-04-20,15.2993,74.124
Gujarat,695,59,30,16-04-20,22.2587,71.1924
Haryana,199,34,3,16-04-20,29.0588,76.0856
Himachal Pradesh,33,13,1,16-04-20,31.1048,77.1734
Jammu and Kashmir,278,30,4,16-04-20,33.7782,76.5762
Jharkhand,27,0,2,16-04-20,23.6102,85.2799
Karnataka,277,75,11,16-04-20,15.3173,75.7139
Kerala,387,211,3,16-04-20,10.8505,76.2711
Ladakh,17,10,0,16-04-20,34.2996,78.2932
Madhya Pradesh,987,64,53,16-04-20,22.9734,78.6569
Maharashtra,2687,259,178,16-04-20,19.7515,75.7139
Manipur,2,1,0,16-04-20,24.6637,93.9063
Meghalaya,7,0,1,16-04-20,25.467,91.3662
Mizoram,1,0,0,16-04-20,23.1645,92.9376
Nagaland,0,0,0,16-04-20,26.1584,94.5624
Odisha,60,18,1,16-04-20,20.9517,85.0985
Puducherry,7,1,0,16-04-20,11.9416,79.8083
Punjab,186,14,13,16-04-20,31.1471,75.3412
Rajasthan,1005,147,3,16-04-20,27.0238,74.2179
Tamil Nadu,1204,81,12,16-04-20,11.1271,78.6569
Telengana,647,120,18,16-04-20,18.1124,79.0193
Tripura,2,0,0,16-04-20,23.9408,91.9882
Uttarakhand,37,9,0,16-04-20,30.0668,79.0193
Uttar Pradesh,735,51,11,16-04-20,26.8467,80.9462
West Bengal,213,37,7,16-04-20,22.9868,87.855
